,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
0,002948.SZ,20190427,20190427,20190331,1,2,4509690000.0,8337869000.0,2826874000.0,1403575000.0,,,23800424000.0,,,,,,,,,,,4723428000.0,,,,899820000.0,,,,,,,,739675000.0,,2894942000.0,210203000.0,,,,,159343000.0,,,,1228726000.0,135490621000.0,,,26887804000.0,1381958000.0,113142000.0,137000.0,,,,,,,,,,,,,327242345000.0,,,11634658000.0,,8962389000.0,,,,,12055058000.0,,544074000.0,133970000.0,,,,,,,,,,,,,,67673606000.0,,,86240000.0,,,,,12283482000.0,1098000.0,182024524000.0,,1270912000.0,,,,,,,,,,,,297112160000.0,,3969452000.0,,,529918000.0,29600267000.0,30130185000.0,327242345000.0,,698843000.0,7853964000.0,7853964000.0,,,,,,
1,002948.SZ,20190330,20190330,20181231,1,2,4058713000.0,6826276000.0,2319800000.0,1403575000.0,,,22361816000.0,,,,,,,,,,,4110464000.0,,,,300262000.0,,,,,,,,1064952000.0,,2914152000.0,210203000.0,,,,,165153000.0,,,,1152778000.0,123366891000.0,,,29554430000.0,1542437000.0,113459000.0,,,,,,,,,,,,,,317658502000.0,,,10878835000.0,,7207066000.0,,,,,14850333000.0,,755237000.0,119708000.0,,,,,,,,,,,,,,65240507000.0,,,104964000.0,,,,,11632982000.0,,177911247000.0,,1460899000.0,,,,,,,,,,,,290161778000.0,,3969452000.0,,,511751000.0,26984973000.0,27496724000.0,317658502000.0,,553193000.0,7853964000.0,7853964000.0,,,,,,
2,002948.SZ,20181205,20181205,20180930,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313878797000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287138350000.0,,,,,499316000.0,26241131000.0,26740447000.0,313878797000.0,,,7853964000.0,7853964000.0,,,,,,
3,002948.SZ,20181205,20181205,20180930,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313878797000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287138350000.0,,,,,499316000.0,26241131000.0,26740447000.0,313878797000.0,,,,,,,,,,
4,002948.SZ,20181205,20181205,20180630,1,2,4058713000.0,6826276000.0,2322238000.0,1203325000.0,,,26759067000.0,,,,,,2157454000.0,,,,,3695341000.0,,,,2723551000.0,,,,,,,,1084342000.0,,3061334000.0,,,,,,170661000.0,,,,1079808000.0,104310963000.0,,,30077660000.0,2467172000.0,113267000.0,15118000.0,,,,,,,,,,,,,302159196000.0,,,3107134000.0,,7331465000.0,,,,,18900066000.0,,508620000.0,258469000.0,2775223000.0,,,,,,,,,,,,,48151859000.0,,,125214000.0,,,,,22991359000.0,32268000.0,166199611000.0,,5084471000.0,,,,,,,,,,,,275465759000.0,,3969452000.0,,,501146000.0,26192291000.0,26693437000.0,302159196000.0,,-41677000.0,7853964000.0,7853964000.0,,,,,,
5,002948.SZ,20181205,20181205,20171231,1,2,4058713000.0,6826276000.0,2603573000.0,1203325000.0,,,179078000.0,,,,,,2039205000.0,,,,,2882727000.0,,,,3584200000.0,,,79086556000.0,38644926000.0,,,,898937000.0,,3089017000.0,,,,,,197454000.0,,,,1084286000.0,95514680000.0,,,27097814000.0,1107946000.0,114001000.0,,,,,,,,,,,,,46678869000.0,306276092000.0,,,584215000.0,,5774299000.0,,,,,11899583000.0,,699855000.0,74194000.0,2797902000.0,,,,,,,,,,,,,68632691000.0,,,,,,,,24901934000.0,353220000.0,160083783000.0,,4351207000.0,,,,,,,,,,,,280152883000.0,,3969452000.0,,,493355000.0,25629854000.0,26123209000.0,306276092000.0,,-885449000.0,7853964000.0,7853964000.0,,,,,,
6,002948.SZ,20180109,20180109,20170630,1,2,4058713000.0,6826276000.0,2442158000.0,1013649000.0,,,,,,,,,1460151000.0,,,,,3996197000.0,,,,24793380000.0,,,42113673000.0,32797214000.0,,,,5304802000.0,,1370544000.0,,,,,,170866000.0,,,,802892000.0,92079084000.0,,,28214923000.0,2861096000.0,35495000.0,1936000.0,,,,,,,,,,,,45973978000.0,281976231000.0,,,1467999000.0,,6198512000.0,,,,,16060400000.0,,847476000.0,366213000.0,2570246000.0,,,,,,,,,,,,,56137986000.0,,,,,,,,21814631000.0,49880000.0,157297114000.0,,977302000.0,,,,,,,,,,,,263787759000.0,,3696090000.0,,,492961000.0,17695511000.0,18188472000.0,281976231000.0,,-341375000.0,,,,,,,,
7,002948.SZ,20181205,20181205,20161231,1,2,4058713000.0,6826276000.0,1978101000.0,1013649000.0,,,320315000.0,,,,,,1597870000.0,,,,,619210000.0,,,,3957206000.0,,,58410672000.0,31324703000.0,,,,2866532000.0,,1221493000.0,,,,,,171661000.0,,,,602519000.0,84864849000.0,,,22697997000.0,6421827000.0,39314000.0,,,,,,,,,,,,,62871938000.0,277988106000.0,,,3432407000.0,,6925270000.0,,,,,17043065000.0,,1061805000.0,277893000.0,2548373000.0,,,,,,,,,,,,,41786221000.0,,,,,,,,45018569000.0,,141604761000.0,,653769000.0,,,,,,,,,,,,260352133000.0,,3696090000.0,,,,17635973000.0,17635973000.0,277988106000.0,,63144000.0,,,,,,,,
8,002948.SZ,20161216,20161216,20160630,1,2,4058713000.0,6826276000.0,2664791000.0,804789000.0,,,192861000.0,,,,,,1178869000.0,,,,,1261695000.0,,,,,,,22538219000.0,23375958000.0,,,,2334210000.0,,1001395000.0,,,,,,156678000.0,,,,349136000.0,78749221000.0,,,19948551000.0,2122749000.0,16877000.0,,,,,,,,,,,,,53839776000.0,207066195000.0,,,1148799000.0,,3879252000.0,,,,,,,941557000.0,282732000.0,2054408000.0,,,,,,,,,,,,,28016423000.0,,,,,,,,25334412000.0,,126299566000.0,,2032871000.0,,,,,,,,,,,,189990020000.0,,2391182000.0,,,,17076175000.0,17076175000.0,207066195000.0,,330424000.0,,,,,,,,
9,002948.SZ,20181205,20181205,20151231,1,2,4011533000.0,6708018000.0,2215006000.0,804789000.0,,,297595000.0,,,,,,1090551000.0,,,,,1108138000.0,,,,2516977000.0,,,17120786000.0,22575284000.0,,,,2034566000.0,,1021157000.0,,,,,,226234000.0,,,,279402000.0,70655221000.0,,,19920303000.0,3585267000.0,16986000.0,,,,,,,,,,,,,44786787000.0,187235254000.0,,,528909000.0,,3051992000.0,,,,,2000000000.0,,908156000.0,176797000.0,2134308000.0,,,,,,,,,,,,,16314307000.0,,,,,,,,27335870000.0,,115321997000.0,,2849266000.0,,,,,,,,,,,,170621602000.0,,2391182000.0,,,,16613652000.0,16613652000.0,187235254000.0,,483124000.0,,,,,,,,
