,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
0,601577.SH,20190429,20190429,20190331,1,2,3421554000.0,5785652000.0,13743871000.0,2021865000.0,,,67399778000.0,,,,,,,,,,,302773000.0,,,,24247578000.0,,,,,,,,1210218000.0,,1515788000.0,,,,,,423776000.0,,,,1891411000.0,211019609000.0,,,44083687000.0,5820476000.0,,,,,,,,,,,,,,,571641369000.0,,,8160375000.0,,1435199000.0,,,,,3214053000.0,,789147000.0,999943000.0,,,,,,,,,,,,,,117165401000.0,,,183678000.0,,,,,21173731000.0,,382724848000.0,,2817537000.0,,,,,,,,,,,,538663912000.0,,6502918000.0,,,1083101000.0,31894356000.0,32977457000.0,571641369000.0,,418496000.0,,,,,,,,
1,601577.SH,20190325,20190325,20181231,1,2,3421554000.0,5900177000.0,12881833000.0,2021865000.0,,,20717679000.0,,,,,,3852523000.0,,,,,300000000.0,,,,7640736000.0,,,36017764000.0,94051516000.0,,,,1050851000.0,,1531694000.0,,,,,,440841000.0,,,,1720210000.0,197122160000.0,,,43386055000.0,5603322000.0,,,,,,,,,,,,,,113194334000.0,526629685000.0,,,10550000000.0,,2033760000.0,,,,,10622400000.0,,899472000.0,969363000.0,4372400000.0,,,,,,,,,,,,,102412027000.0,,,3000000.0,,,,,18413488000.0,,341202398000.0,,3370233000.0,,,,,,,,,,,,494848541000.0,,6502918000.0,,,785374000.0,30995770000.0,31781144000.0,526629685000.0,,267423000.0,,,,,,,,
2,601577.SH,20181030,20181030,20180930,1,2,3421554000.0,5900177000.0,13080622000.0,2021865000.0,,,16360646000.0,,,,,,3462430000.0,,,,,1250000000.0,,,,9102793000.0,,,38305839000.0,81642653000.0,,,,1157499000.0,,1530894000.0,,,,,,359111000.0,,,,1246927000.0,189258489000.0,,,45836853000.0,6282825000.0,,,,,,,,,,,,,,121825418000.0,517622377000.0,,,9200000000.0,,889900000.0,,,,,14726600000.0,,725673000.0,672052000.0,4055531000.0,,,,,,,,,,,,,98812946000.0,,,3000000.0,,,,,15686936000.0,,340489646000.0,,1690232000.0,,,,,,,,,,,,486952516000.0,,5554730000.0,,,750893000.0,29918968000.0,30669861000.0,517622377000.0,,-59980000.0,,,,,,,,
3,601577.SH,20180829,20180829,20180630,1,2,3079398000.0,3600675000.0,11736246000.0,2021865000.0,,,11933964000.0,,,,,,3060071000.0,,,,,,,,,10491404000.0,,,38859251000.0,77045867000.0,,,,1082393000.0,,1497440000.0,,,,,,362297000.0,,,,1423062000.0,172005362000.0,,,46129269000.0,5430895000.0,,,,,,,,,,,,,,118233547000.0,487554822000.0,,,7150000000.0,,2061660000.0,,,,,7129000000.0,,489765000.0,757196000.0,3903699000.0,,,,,,,,,,,,,85205019000.0,,,3000000.0,,,,,18358872000.0,,333347880000.0,,2522482000.0,,,,,,,,,,,,460928573000.0,,5554704000.0,,,741579000.0,25884670000.0,26626249000.0,487554822000.0,,-108218000.0,,,,,,,,
4,601577.SH,20180814,20180814,20180331,1,2,3079398000.0,3600675000.0,10584375000.0,2021865000.0,,,11196974000.0,,,,,,3221938000.0,,,,,,,,,5189944000.0,,,33744865000.0,70837305000.0,,,,2070151000.0,,1498296000.0,,,,,,363641000.0,,,,1416137000.0,159046932000.0,,,48147008000.0,4846686000.0,,,,,,,,,,,,,,126168702000.0,467748579000.0,,,8150000000.0,,7156096000.0,,,,,18646500000.0,,641490000.0,853301000.0,3823467000.0,,,,,,,,,,,,,73971659000.0,,,3000000.0,,,,,18646179000.0,,309511961000.0,,985944000.0,,,,,,,,,,,,442389597000.0,,5554704000.0,,,741063000.0,24617919000.0,25358982000.0,467748579000.0,,-223098000.0,,,,,,,,
5,601577.SH,20180814,20180814,20171231,1,2,3079398000.0,3600675000.0,9351439000.0,2021865000.0,,,10421878000.0,,,,,,2909036000.0,,,,,,,,,5518780000.0,,,24742734000.0,69609368000.0,,,,1103085000.0,,1507523000.0,,,,,,361437000.0,,,,1378495000.0,149524628000.0,,,64408462000.0,4845136000.0,,,,,,,,,,,,,,134213525000.0,470544087000.0,,,8650000000.0,,4800000000.0,,,,,16439956000.0,,751345000.0,535375000.0,3455312000.0,,,,,,,,,,,,,59528634000.0,,,3000000.0,,,,,14023352000.0,,336640719000.0,,1719853000.0,,,,,,,,,,,,446547546000.0,,5554704000.0,,,712489000.0,23284052000.0,23996541000.0,470544087000.0,,-324029000.0,,,,,,,,
6,601577.SH,20171212,20171212,20170930,1,2,3079398000.0,3600675000.0,10061993000.0,1633215000.0,,,5973178000.0,,,,,,3007150000.0,,,,,796428000.0,,,,5663320000.0,,,26011381000.0,64620802000.0,,,,854195000.0,,1348468000.0,,,,,,257157000.0,,,,1255591000.0,143749018000.0,,,48254836000.0,6023122000.0,,,,,,,,,,,,,,139770040000.0,447584686000.0,,,4650000000.0,,2630506000.0,,,,,26736160000.0,,573137000.0,890691000.0,3363906000.0,,,,,,,,,,,,,63356210000.0,,,3000000.0,,,,,16656359000.0,,303523849000.0,,1630033000.0,,,,,,,,,,,,424013851000.0,,4686698000.0,,,729486000.0,22841349000.0,23570835000.0,447584686000.0,,-220630000.0,,,,,,,,
7,601577.SH,20170731,20170731,20170630,1,2,3079398000.0,3303334000.0,9948005000.0,1633215000.0,,,4412876000.0,,,,,,3017184000.0,,,,,1138099000.0,,,,5829306000.0,,,19304823000.0,60929234000.0,,,,691199000.0,,1284379000.0,,,,,,258426000.0,,,,968134000.0,136247834000.0,,,48362750000.0,7149935000.0,,,,,,,,,,,,,,147503017000.0,437097196000.0,,,2700000000.0,,,,,,,24698900000.0,,277035000.0,314078000.0,3239517000.0,,,,,,,,,,,,,59453520000.0,,,3000000.0,,,,,23741758000.0,,296087331000.0,,3398824000.0,,,,,,,,,,,,413913964000.0,,4619976000.0,,,599300000.0,22583930000.0,23183230000.0,437097196000.0,,,,,,,,,,
8,601577.SH,20170731,20170731,20170331,1,2,3079398000.0,3322580000.0,8212304000.0,1633215000.0,,,5437491000.0,,,,,,2828778000.0,,,,,,,,,5958760000.0,,,19098250000.0,52827699000.0,,,,808430000.0,,1271522000.0,,,,,,258580000.0,,,,1062506000.0,124297738000.0,,,47083531000.0,7242944000.0,,,,,,,,,,,,,,134589437000.0,402765666000.0,,,1150000000.0,,,,,,,11375900000.0,,444830000.0,916242000.0,3301021000.0,,,,,,,,,,,,,53363981000.0,,,3000000.0,,,,,25761925000.0,,282808969000.0,,2113029000.0,,,,,,,,,,,,381238897000.0,,4686698000.0,,,592574000.0,20934195000.0,21526769000.0,402765666000.0,,,,,,,,,,
9,601577.SH,20180814,20180814,20161231,1,2,3079398000.0,3600675000.0,7139292000.0,1633215000.0,,,4412002000.0,,,,,,2492618000.0,,,,,,,,,2889000000.0,,,24328815000.0,47348117000.0,,,,677195000.0,,1219523000.0,,,,,,258822000.0,,,,982284000.0,114972116000.0,,,47820512000.0,8897042000.0,,,,,,,,,,,,,,127207406000.0,383505452000.0,,,3100000000.0,,0.0,,,,,10572000000.0,,541777000.0,928191000.0,2869676000.0,,,,,,,,,,,,,52482589000.0,,,3000000.0,,,,,16907372000.0,,273377328000.0,,2361477000.0,,,,,,,,,,,,363143410000.0,,4686698000.0,,,422401000.0,19939641000.0,20362042000.0,383505452000.0,,-199637000.0,,,,,,,,
