,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,002006.SZ,20190430,20190430,20190331,1,1,,,180610469.27,964189.86,,,,,,,,,,,,57926979.87,239501639.0,178440068.63,36290727.08,19410579.24,,,,,,37397534.85,271538909.8,-32037270.8,,12520000.0,218254.28,,,12738254.28,8607975.27,2300000.0,,,,10907975.27,1830279.01,105100000.0,,,105100000.0,,90300000.0,2816646.27,,,93116646.27,11983353.73,-42458.3,-18266096.36,140512062.74,122245966.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,002006.SZ,20190430,20190430,20190331,1,1,,,180610469.27,964189.86,,,,,,,,,,,,57926979.87,239501639.0,178440068.63,36290727.08,19410579.24,,,,,,37397534.85,271538909.8,-32037270.8,,12520000.0,218254.28,,,12738254.28,8607975.27,2300000.0,,,,10907975.27,1830279.01,105100000.0,,,105100000.0,-45262673.0,90300000.0,2816646.27,,,93116646.27,11983353.73,-42458.3,-18266096.36,140512062.74,122245966.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,002006.SZ,20190412,20190412,20181231,1,1,6688032.94,10452121.85,769309340.41,6732802.16,,,,,,,,,,,,26294053.49,802336196.06,575890017.15,137008396.99,57004182.05,,,,,,106731388.3,876633984.49,-74297788.43,,152600000.0,607589.03,30678316.4,,183885905.43,41634817.58,182600000.0,-160940.04,40000000.0,,264073877.54,-80187972.11,499337520.83,,,507337520.83,,417700000.0,19645641.52,,,437345641.52,69991879.31,902082.51,-83591798.72,224070717.65,140478918.93,8000000.0,8000000.0,,64737494.84,15561594.03,2477984.84,,,,-24009722.47,348070.34,,-15861686.22,-1230688.1,,-108177956.2,-60807429.53,32031792.23,3492603.02,-74297788.43,,,,140478918.93,224070717.65,,,-83591798.72
3,002006.SZ,20190412,20190412,20181231,1,1,6688032.94,10452121.85,769309340.41,6732802.16,,,,,,,,,,,,26294053.49,802336196.06,575890017.15,137008396.99,57004182.05,,,,,,106731388.3,876633984.49,-74297788.43,,152600000.0,607589.03,30678316.4,,183885905.43,41634817.58,182600000.0,-160940.04,40000000.0,,264073877.54,-80187972.11,499337520.83,,,507337520.83,-133996051.35,417700000.0,19645641.52,,,437345641.52,69991879.31,902082.51,-83591798.72,224070717.65,140478918.93,8000000.0,8000000.0,,64737494.84,15561594.03,2477984.84,,,,-24009722.47,348070.34,,-15861686.22,-1230688.1,,-108177956.2,-60807429.53,32031792.23,3492603.02,-74297788.43,,,,140478918.93,224070717.65,,,-83591798.72
4,002006.SZ,20181026,20181026,20180930,1,1,,,576422944.67,5972125.25,,,,,,,,,,,,44723517.11,627118587.03,396893783.83,99522610.96,57077072.54,,,,,,47659932.24,601153399.57,25965187.46,,78100000.0,415708.16,30405.86,,78546114.02,50308693.87,102600000.0,-1260940.04,,,151647753.83,-73101639.81,457900000.0,,,465900000.0,-114476368.8667,397600000.0,16951827.15,,,414551827.15,51348172.85,78393.09,4290113.59,224070717.65,228360831.24,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,002006.SZ,20180811,20180811,20180630,1,1,28873831.51,4527699.3,377535383.45,1836667.79,,,,,,,,,,,,34245274.93,413617326.17,281431818.84,76321047.34,51620223.6,,,,,,29424813.97,438797903.75,-25180577.58,,61800000.0,158686.58,,,61958686.58,36956746.49,81300000.0,,,,118256746.49,-56298059.91,288900000.0,,,294900000.0,-156420649.7917,225600000.0,13683294.79,,,239283294.79,55616705.21,-84019.35,-25945951.63,224070717.65,198124766.02,6000000.0,6000000.0,,11061746.62,8055882.45,1227284.35,,,,-23723063.59,,,-16707308.74,73953.25,,3118189.69,-77228143.86,34404726.75,1134624.69,-25180577.58,,,,198124766.02,224070717.65,,,-25945951.63
6,002006.SZ,20180426,20180426,20180331,1,1,,,156242845.62,1078908.15,,,,,,,,,,,,41635580.74,198957334.51,112846993.29,41261167.06,34397058.58,,,,,,32015094.23,220520313.16,-21562978.65,6700000.0,10000000.0,63159.18,,,16763159.18,32731405.14,10000000.0,,9900000.0,,52631405.14,-35868245.96,168600000.0,,,168600000.0,-146800685.3408,173600000.0,2216141.59,,347666.3,176163807.89,-7563807.89,-356068.98,-65351101.48,224070717.65,158719616.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,002006.SZ,20180420,20180420,20171231,1,1,94136752.86,9374727.21,540252369.89,9936561.71,,,,,,,,,,,,66745817.8,616934749.4,490338498.44,103353600.21,23873547.95,,,,,,55404120.54,672969767.14,-56035017.74,2019000.0,443000000.0,3059102.99,124786.33,,448202889.32,56385645.95,321000000.0,,,,377385645.95,70817243.37,189000000.0,,,189000000.0,2780559.88,175920000.0,17418516.88,,3106004.17,196444521.05,-7444521.05,-906706.16,6430998.42,217639719.23,224070717.65,,,,32010930.57,27588634.17,1962129.84,,,,941344.02,125975.12,,-1940194.66,-275114.3,,-7593638.65,-234275981.39,19700461.97,2208955.5,-56035017.74,,,,224070717.65,217639719.23,,,6430998.42
8,002006.SZ,20171027,20171027,20170930,1,1,,,352984669.94,4409173.25,,,,,,,,,,,,71079380.93,428473224.12,329215642.79,80942573.85,23840102.71,,,,,,90316104.08,524314423.43,-95841199.31,72346.3,348000000.0,1459369.96,5128.21,,349536844.47,54889482.57,268000000.0,,41374.68,,322930857.25,26605987.22,152000000.0,,,152000000.0,-127889389.23,124000000.0,14844843.55,,3106004.17,141950847.72,10049152.28,-191554.8,-59377614.61,217639719.23,158262104.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,002006.SZ,20170812,20170812,20170630,1,1,27665108.41,4092096.22,276690192.59,127872.46,,,,,,,,,,,,65798223.03,342616288.08,241640219.09,61923556.27,20167946.5,,,,,,28225697.69,351957419.55,-9341131.47,,268400000.0,1040758.84,,,269440758.84,24021856.27,190000000.0,,,,214021856.27,55418902.57,92000000.0,,,92000000.0,,92000000.0,12823903.06,,3106004.17,107929907.23,-15929907.23,-7793.22,30140070.65,217639719.23,247779789.88,,,,2122737.47,13675757.23,784944.17,,,,109369.35,,,-433108.15,-43720.73,,51979156.11,-55085056.21,-54824493.5,616078.16,-9341131.47,,,,247779789.88,217639719.23,,,30140070.65
