,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,600131.SH,20190427,20190427,20190331,1,1,,,228630013.86,,,,,,,,,,,,,1395050.32,230025064.18,169943411.79,34158677.49,18093623.72,,,,,,5333087.5,227528800.5,2496263.68,854369.62,,,,,854369.62,16825940.86,,,3445234.2,,20271175.06,-19416805.44,,,,,,,9743756.04,,,9743756.04,-9743756.04,,-26664297.8,220931825.02,194267527.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,600131.SH,20190330,20190330,20181231,1,1,101703979.59,44302824.7,1284453433.03,,,,,,,,,,,,,9271572.59,1293725005.62,772220685.29,164098738.42,73286766.54,,,,,,20399004.47,1030005194.72,263719810.9,6039799.2,,84984229.77,2214606.46,,93238635.43,79786516.55,,,6107341.33,,85893857.88,7344777.55,200000000.0,,,205390000.0,158555068.2655,329960000.0,69772812.25,,,399732812.25,-194342812.25,,76721776.2,144210048.82,220931825.02,5390000.0,5390000.0,,26389716.0,98139321.45,871644.12,287499.08,,,-56387.18,1760656.9,,-105406999.15,4092294.73,,124135.18,9127135.0,82383990.48,,263719810.9,,,,220931825.02,144210048.82,,,76721776.2
2,600131.SH,20181031,20181031,20180930,1,1,,,928260756.81,,,,,,,,,,,,,11560551.9,939821308.71,559200311.06,104508174.54,56940750.65,,,,,,14067346.85,734716583.1,205104725.61,2598706.31,,84000000.0,1496484.49,,88095190.8,53378634.76,,,1807781.33,,55186416.09,32908774.71,200000000.0,,,200000000.0,47067611.9807,322980000.0,59895596.48,,,382875596.48,-182875596.48,,55137903.84,144210048.82,199347952.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,600131.SH,20180818,20180818,20180630,1,1,80603716.55,22695638.77,555293454.56,,,,,,,,,,,,,5401028.89,560694483.45,354102448.6,66058686.78,34546490.49,,,,,,9982259.91,464689885.78,96004597.67,5631974.5,,44000000.0,1496484.49,,51128458.99,34731845.19,,,796181.33,,35528026.52,15600432.47,100000000.0,,,100000000.0,53951493.4247,14980000.0,39668837.37,,,54648837.37,45351162.63,,156956192.77,144210048.82,301166241.59,,,,-103082.6,49442586.28,428903.82,143746.0,,,,-1243213.74,,-64025623.5,6678570.56,,81233.19,-9026476.3,10328598.64,,96004597.67,,,,301166241.59,144210048.82,,,156956192.77
4,600131.SH,20180426,20180426,20180331,1,1,,,247695371.7,,,,,,,,,,,,,1736629.76,249432001.46,161191412.82,31306394.7,17190775.39,,,,,,3560005.57,213248588.48,36183412.98,1022584.48,,,81456.49,,1104040.97,25493038.37,,,,,25493038.37,-24388997.4,,,,,-25317419.5509,,11123978.02,,,11123978.02,-11123978.02,,670437.56,144210048.82,144880486.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600131.SH,20180331,20180331,20171231,1,1,78239796.79,48066978.7,920093849.58,,,,,,,,,,,,,1475058.83,921568908.41,536292263.66,149885459.17,65212078.24,,,,,,17040997.25,768430798.32,153138110.09,944173.8,4203100.0,78348648.78,2800.0,,83498722.58,105713589.3,,,2493140.57,,108206729.87,-24708007.29,626000000.0,,,626000000.0,45893229.9512,669960000.0,74290509.78,,,744250509.78,-118250509.78,,10179593.02,134030455.8,144210048.82,,,,5189144.3,109096973.6,700558.1,287492.0,,,563058.55,,,-92682331.98,-4440102.25,,-67883.15,15533575.42,-7349149.99,,153138110.09,,,,144210048.82,134030455.8,,,10179593.02
6,600131.SH,20171028,20171028,20170930,1,1,,,634665470.33,,,,,,,,,,,,,6635242.88,641300713.21,367034708.1,96439096.23,47409216.49,,,,,,16409859.89,527292880.71,114007832.5,518542.13,1838570.0,80626178.78,2800.0,,82986090.91,71313079.31,,,1805640.57,,73118719.88,9867371.03,450000000.0,,,450000000.0,-63199923.0154,462980000.0,60260676.78,,,523240676.78,-73240676.78,,50634526.75,134030455.8,184664982.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,600131.SH,20170812,20170812,20170630,1,1,42502552.26,24746590.48,394342307.84,,,,,,,,,,,,,3565365.13,397907672.97,240194178.74,62776220.19,31053803.38,,,,,,8647965.51,342672167.82,55235505.15,557887.08,1838570.0,39877530.0,,,42273987.08,37710854.98,,,1857547.93,,39568402.91,2705584.17,450000000.0,,,450000000.0,,454980000.0,42347139.08,,,497327139.08,-47327139.08,,10613950.24,134030455.8,144644406.04,,,,-6363504.49,59400454.17,303747.04,143746.0,,,,154184.5,,-54818309.75,258836.96,,-43343.98,-4096831.71,-6952616.33,,55235505.15,,,,144644406.04,134030455.8,,,10613950.24
8,600131.SH,20170812,20170812,20170630,1,1,42502552.26,24746590.48,394342307.84,,,,,,,,,,,,,3565365.13,397907672.97,240194178.74,62776220.19,31053803.38,,,,,,8647965.51,342672167.82,55235505.15,557887.08,1838570.0,39877530.0,,,42273987.08,37710854.98,,,1857547.93,,39568402.91,2705584.17,450000000.0,,,450000000.0,13198469.5301,454980000.0,42347139.08,,,497327139.08,-47327139.08,,10613950.24,134030455.8,144644406.04,,,,-6363504.49,59400454.17,303747.04,143746.0,,,,154184.5,,-54818309.75,258836.96,,-43343.98,-4096831.71,-6952616.33,,55235505.15,,,,144644406.04,134030455.8,,,10613950.24
9,600131.SH,20170426,20170426,20170331,1,1,,,165743361.41,,,,,,,,,,,,,675937.88,166419299.29,121002527.09,33861326.01,12703086.95,,,,,,2795826.26,170362766.31,-3943467.02,40695.43,,,,,40695.43,23916592.53,,,503554.64,,24420147.17,-24379451.74,50000000.0,,,50000000.0,613563782.79,,12337328.49,,,12337328.49,37662671.51,,9339752.75,134030455.8,143370208.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,600131.SH,20170426,20170426,20170331,1,1,,,165743361.41,,,,,,,,,,,,,675937.88,166419299.29,121002527.09,33861326.01,12703086.95,,,,,,2795826.26,170362766.31,-3943467.02,40695.43,,,,,40695.43,23916592.53,,,503554.64,,24420147.17,-24379451.74,50000000.0,,,50000000.0,-51452658.44,,12337328.49,,,12337328.49,37662671.51,,9339752.75,134030455.8,143370208.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,600131.SH,20170318,20170318,20161231,1,1,158484867.35,55720753.1,1230729989.01,,,,,,,,,,,,,5710848.45,1236440837.46,756726587.19,139667019.77,96668510.55,,,,,,19467891.47,1012530008.98,223910828.48,18088071.1,,86416850.16,35196000.0,,139700921.26,113988466.36,,,5461600.5,,119450066.86,20250854.4,131000000.0,,,131000000.0,607944492.2664,275000000.0,85300262.1,,,360300262.1,-229300262.1,,14861420.78,119169035.02,134030455.8,,,,443228.33,101231553.03,586711.92,287492.0,,,-3061130.83,,,-85330172.89,811997.46,,140415.05,-39666.92,-5365219.12,,223910828.48,,,,134030455.8,119169035.02,,,14861420.78
12,600131.SH,20161022,20161022,20160930,1,1,,,920170676.26,,,,,,,,,,,,,7202578.6,927373254.86,545231105.12,89064689.61,75451670.05,,,,,,10415892.4,720163357.18,207209897.68,9467746.6,,44016850.16,11999000.0,,65483596.76,87646819.44,,,3932315.03,,91579134.47,-26095537.71,100000000.0,,,100000000.0,388169400.0723,120500000.0,69959854.4,,,190459854.4,-90459854.4,,90654505.57,119169035.02,209823540.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,600131.SH,20161022,20161022,20160930,1,1,,,920170676.26,,,,,,,,,,,,,7202578.6,927373254.86,545231105.12,89064689.61,75451670.05,,,,,,10415892.4,720163357.18,207209897.68,9467746.6,,44016850.16,11999000.0,,65483596.76,87646819.44,,,3932315.03,,91579134.47,-26095537.71,100000000.0,,,100000000.0,62378222.4247,120500000.0,69959854.4,,,190459854.4,-90459854.4,,90654505.57,119169035.02,209823540.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
