,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,002633.SZ,20190426,20190331,-0.0083,-0.0083,0.164,0.164,2.0315,0.1179,0.3411,3475627.52,-4727804.12,5353178.89,4.6648,3.5483,3.1038,0.2122,0.0738,0.1162,0.0399,-4727804.12,-1252865.57,,,,70686430.05,19670979.36,0.0,-43983681.54,482023741.34,259050835.93,215067154.39,523577872.57,68855558.33,-0.0083,3.4905,0.0304,0.459,-0.0009,-0.0084,,,-5.0899,21.76,78.24,44.3525,-5.0899,11.1279,33.2274,-0.0028,-5.9037,119.2179,-5.1354,-5.0927,-0.2389,-0.24,-0.9019,-0.203,-0.2029,-0.239,-0.9556,-0.812,14.7177,1.1726,1.1771,53.7088,46.2912,78.5138,0.0,100.0,78.2298,21.7702,0.0645,0.1726,5.7945,,5.3346,,,0.0505,756.9684,-0.8116,-0.2029,229469952.25,-5.0899,11.1279,119.2179,-0.2389,-0.9019,-0.2029,18.545,67.1937,67.1937,15.5894,61.7661,67.0546,67.0546,-37.42,15.5313,67.4707,-0.2401,-1.0044,-0.2386,-2.1246,-2.1246,-2.1246,-124.6877,1.2793
1,002633.SZ,20190426,20181231,0.0271,0.0271,1.0792,1.0792,2.0315,0.1179,0.3495,2765238.31,1299666.05,40686485.08,4.4596,3.6197,3.176,1.2699,0.4886,0.8416,0.2625,3229312.85,3856805.21,34704679.78,-36963825.2,-37013825.2,75559538.79,19774560.99,0.0,-39549456.1,483096991.31,261409454.27,221859998.17,524830049.17,70107734.93,0.0271,3.4989,0.1587,0.4674,-0.224,0.0257,-0.2464,-0.2468,2.5112,25.1347,74.8653,22.5305,2.5112,5.7448,16.9805,-0.1948,-1.0513,98.005,2.7375,2.3826,0.7775,0.78,0.2486,0.6255,0.6592,0.7377,0.7775,0.6255,15.3724,1.1816,1.1795,54.3355,45.6645,77.8982,0.0,100.0,79.2576,20.7424,0.315,0.1816,5.5052,,5.0674,,,0.2497,464.838,0.6592,0.6592,228447378.03,2.5112,5.61,91.129,1.0031,0.5521,0.8491,10.9869,-24.9307,-24.9307,310.0775,-14.1433,-24.8972,-24.8972,-60.73,309.755,-25.4789,0.7806,1.1514,0.7806,-7.0525,-7.0525,-17.149,46.4412,0.7806
2,002633.SZ,20181025,20180930,-0.0078,-0.0078,0.7175,0.7175,2.0315,0.1179,0.3146,409749.62,-1583296.89,27076744.43,4.4873,3.5099,3.0682,0.8442,0.3267,0.6713,0.1754,-1583296.89,-1405727.02,,-55396626.96,-55396626.96,74192483.73,19893142.62,50000.0,-43982758.37,477550971.15,258906090.53,214923332.16,519641597.54,64869283.3,-0.0078,3.4639,0.119,0.4325,-0.1855,-0.0094,-0.3693,-0.3693,-1.0904,25.159,74.841,25.9001,-1.0904,5.8128,20.3031,-0.2157,-2.3374,101.4712,-0.6376,-1.3062,-0.2256,-0.23,-0.3044,-0.2292,-0.1913,-0.2702,-0.3008,-0.3056,15.3383,1.1812,1.1792,54.2828,45.7172,77.8116,0.0096,99.9904,78.8676,21.1324,0.2403,0.1812,5.5196,10391.832,5.073,9551.0194,,0.1896,539.7349,-0.2551,-0.1913,238538023.24,-1.0904,5.3388,92.3037,0.6749,0.3031,0.5352,6.6074,-271.4286,-271.4286,20.4453,-199.9386,-277.5094,-277.5094,0.36,20.3508,-274.2037,-0.2275,0.1015,-0.2254,-0.969,-0.969,2.8215,399.2774,0.8834
3,002633.SZ,20180823,20180630,-0.02,-0.02,0.4505,0.4505,2.0315,0.1179,0.3017,57837.09,-3155410.88,17403023.77,2.6746,2.2253,2.2088,0.5297,0.1815,0.4124,0.1034,-3155410.88,-3065865.55,12124311.61,13963243.89,93913243.89,76666813.57,20020890.95,80000000.0,-88159605.82,475319375.96,262352555.97,174192950.15,597667571.02,62945256.78,-0.0207,3.4511,0.1009,0.4196,0.6136,-0.0204,0.0931,0.6261,-4.5836,25.7517,74.2483,28.5953,-4.5836,6.0253,22.5002,0.0698,-1.4242,104.6691,-3.8538,-4.5366,-0.5966,-0.6,-0.6077,-0.469,-0.4738,-0.5482,-1.1932,-0.938,25.4463,1.3413,1.2591,60.3465,39.6535,68.4548,13.3854,86.6146,88.6688,11.3312,0.0966,0.3413,2.9298,6.4708,2.6902,5.9415,,0.0857,571.237,-0.9476,-0.4738,232987710.94,-4.5836,5.6161,99.3286,0.1359,0.0551,0.1082,26.3679,0.0,0.0,-15.3523,-16.2014,-33.5056,-33.5056,-13.17,-15.3466,-32.3103,-0.5962,13.2523,-0.5948,-1.9021,-1.9021,12.8334,121.1818,0.9035
4,002633.SZ,20180428,20180331,-0.03,-0.03,0.1676,0.1676,2.0315,0.1179,0.297,-360352.98,-3440404.65,6110249.91,4.7365,3.7757,3.2803,0.2004,0.0773,0.1504,0.0412,-3440404.65,-3880767.5,,-36610219.59,-36610219.59,68548261.23,20154472.57,50000.0,-46920841.14,474308623.45,256318082.14,209397241.0,517014387.18,62242072.94,-0.0253,3.4464,0.0263,0.4149,-0.1851,-0.0259,-0.2441,-0.2441,-15.1214,24.3097,75.6903,37.6111,-15.1214,6.7163,31.2131,-0.3183,-3.9942,113.6877,-13.1463,-15.4397,-0.7325,-0.73,-0.6631,-0.6368,-0.6237,-0.7479,-2.93,-2.5472,14.6525,1.1717,1.1745,53.6416,46.3584,78.3053,0.0097,99.9903,77.2914,22.7086,0.0576,0.1717,5.8248,10339.2877,5.3442,9486.1725,,0.0445,743.7008,-2.4948,-0.6237,238145013.88,-15.1214,6.7163,113.6877,-0.7325,-0.6631,-0.6237,15.7109,-200.0,-200.0,-69.2757,-273.4192,-295.8711,-295.8711,-235.33,-69.2338,-293.9017,-0.7316,-1.205,-0.7298,-19.627,-19.627,-19.627,-152.5308,0.5
5,002633.SZ,20180424,20171231,0.04,0.04,1.161,1.161,2.0315,0.1179,0.3224,2103082.61,3309374.3,45943726.97,4.5192,3.7054,3.6821,1.5125,0.5585,0.9466,0.2854,3309374.3,4719827.8,37080768.55,287047.52,237047.52,71999355.52,20290554.19,50000.0,-74681716.67,477801812.41,253559641.8,178877925.13,520815144.81,66042830.57,0.0361,3.4718,0.0387,0.4403,-0.021,0.0315,0.0019,0.0016,3.1078,26.3808,73.6192,19.0771,3.1078,5.6667,13.6954,-0.285,2.4677,98.0998,2.9635,2.7101,1.0448,1.04,0.6388,0.7736,0.8871,0.9109,1.0448,0.7736,15.061,1.1773,1.1777,53.1082,46.8918,77.9315,0.0096,99.9904,78.0262,21.9738,0.0806,0.1773,5.6397,10415.3029,5.1744,9556.0362,,0.0629,424.2941,0.8871,0.8871,244532724.8,3.1078,4.9509,92.5192,1.1051,0.9458,0.9404,-13.7706,123.5294,123.5294,-90.9027,119.3044,121.0554,121.0554,112.36,-90.8961,120.8366,1.0507,0.9786,1.0502,25.7286,25.7286,42.8688,366.3054,1.0502
6,002633.SZ,20171027,20170930,-0.0021,-0.0021,0.7245,0.7245,2.0315,0.1179,0.2842,1278204.81,-1589070.54,28167035.04,4.5221,3.4083,2.9015,1.0552,0.3572,0.579,0.1794,-1589070.54,-686046.56,,-46271640.52,-46321640.52,68581510.75,20428302.48,50000.0,-49419873.24,471832814.29,241725454.43,192305581.19,515091822.17,60319507.93,-0.0021,3.4336,0.0988,0.4021,-0.156,-0.0046,-0.3085,-0.3088,-0.286,25.9184,74.0816,21.8964,-0.286,6.098,16.1436,-0.3452,2.3118,101.4622,-1.0389,-0.6313,-0.0603,-0.06,-0.3084,-0.1133,-0.0513,-0.1331,-0.0804,-0.1511,14.7425,1.1729,1.1755,51.375,48.625,78.1049,0.0097,99.9903,77.0623,22.9377,0.216,0.1729,5.7831,10300.8364,5.2979,9436.6563,,0.1665,508.2121,-0.0684,-0.0513,250535662.34,-0.286,5.2449,96.9861,0.3909,0.2333,0.3114,-7.6892,98.3227,98.3227,-70.569,94.1562,98.3441,98.3441,91.8,-70.5525,98.3263,-0.0611,-0.5043,-0.0603,17.2527,17.2527,23.9805,192.9001,-1.0635
7,002633.SZ,20170824,20170630,-0.02,-0.02,0.4593,0.4593,2.0315,0.1179,0.2708,467997.69,-2788179.51,18401480.36,2.5193,2.0117,1.99,0.7076,0.2016,0.3618,0.1065,-2788179.51,-2652700.85,14088408.4,23660666.86,103610666.86,72903851.89,20569384.11,80050000.0,-94923573.5,469519570.3,232388951.79,137465378.29,593082506.08,58310191.84,-0.0155,3.4202,0.1192,0.3887,0.6087,-0.0177,0.1577,0.6907,-3.3679,26.7113,73.2887,24.2279,-3.3679,6.5907,17.9059,-0.2687,3.0996,104.0473,-3.597,-3.8506,-0.4512,-0.45,-0.5422,-0.4101,-0.3587,-0.4786,-0.9024,-0.8202,25.2745,1.3382,1.258,56.127,43.873,68.3877,13.4973,86.5027,88.146,11.854,0.1169,0.3382,2.9566,6.4089,2.7058,5.8653,,0.1031,524.8137,-0.7174,-0.3587,257700002.62,-3.3679,5.6843,104.6846,-0.2648,-0.343,-0.2103,13.4255,75.0,75.0,-63.0388,79.7975,80.475,80.475,77.37,-63.0328,79.9255,-0.4511,13.0759,-0.4502,13.6898,13.6898,35.8231,-41.5304,-2.7369
8,002633.SZ,20170425,20170331,-0.01,-0.01,0.2085,0.2085,2.0315,0.1179,0.2799,65864.81,-1025964.55,8455068.91,4.1897,3.1461,3.0898,0.3217,0.1044,0.1615,0.0515,-1025964.55,-1000798.56,,6110257.97,6060257.97,71749113.36,20710465.74,50000.0,-84654924.88,470575724.48,229014709.22,144359784.34,514442588.16,59670273.92,-0.0064,3.4293,0.0856,0.3978,0.0737,-0.0067,0.0407,0.0404,-3.0701,27.0364,72.9636,27.7659,-3.0701,7.6809,20.2151,-0.1301,-1.0137,103.2807,-3.2807,-3.2002,-0.1865,-0.19,-0.1993,-0.1649,-0.1582,-0.1943,-0.746,-0.6596,15.2429,1.1798,1.179,49.5655,50.4345,77.5373,0.0097,99.9903,77.6126,22.3874,0.1788,0.1798,5.5604,10287.8518,5.0868,9411.5145,,0.1387,573.5934,-0.6328,-0.1582,259746065.0,-3.0701,7.6809,103.2807,-0.1865,-0.1993,-0.1582,41.0428,66.6667,66.6667,-70.564,79.622,80.3068,80.3068,79.75,-70.5747,79.5379,-0.1863,-0.0431,-0.1863,-4.9429,-4.9429,-4.9429,86.052,-3.7577
9,002633.SZ,20170317,20161231,-0.17,-0.17,0.9235,0.9235,2.0315,0.1179,0.2863,1059335.34,-26765129.67,27965049.46,4.2006,3.1571,3.103,1.4174,0.4099,0.6484,0.2094,-26676327.14,-22112281.33,13021696.86,65794373.67,-2105626.33,70859325.24,20851547.37,100000.0,-73551389.49,471231896.32,227112376.04,153560986.55,515452687.9,60630373.66,-0.1714,3.4357,0.4254,0.4042,0.2016,-0.1474,0.4386,-0.014,-18.5578,20.1888,79.8112,32.2318,-18.5578,6.6141,23.3956,2.222,4.9257,119.2584,-19.2584,-15.9635,-4.8745,-4.87,-5.0754,-3.3421,-3.8853,-3.9388,-4.8745,-3.3421,15.1213,1.1782,1.2546,49.0925,50.9075,77.612,0.0194,99.9806,77.2886,22.7114,0.8993,0.1782,5.6132,5153.5269,5.1326,4712.319,,0.695,485.3933,-3.8853,-3.8853,262445651.65,-18.5578,6.2995,116.0489,-1.3384,-1.4252,-1.1335,29.3748,-221.4286,-221.4286,5648.6486,-223.4287,-223.124,-223.198,-30.79,5676.2438,-228.9351,-4.4498,-15.2107,-4.4496,-39.9091,-39.9091,-9.6013,-4.2642,-4.4496
