,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,600355.SH,20190430,20190331,-0.005,-0.005,0.1952,0.1952,0.3067,0.0841,-0.6606,-4553.71,-2222211.21,23068675.15,2.0997,1.4346,1.3209,1.2977,0.2819,0.7645,0.18,1292724.96,1882273.72,,11614432.4324,-26385567.5676,150324093.0,7120000.0,7000000.0,-62560219.26,317663889.61,173009491.08,110449271.82,365153359.84,-283695667.56,-0.0045,0.7302,0.019,-0.5765,-0.0588,0.0038,0.0236,-0.0536,-2.3186,24.0204,75.9796,22.8655,-2.3186,5.4623,16.2691,1.134,-1.4568,98.6539,0.8306,1.9599,-0.6178,-0.62,-0.6165,0.3528,-0.4173,-1.3716,-2.4712,1.4112,31.4667,1.4591,1.4802,63.2099,36.7901,60.7856,1.917,98.4078,95.6703,4.3297,0.0596,0.4591,2.1852,51.3342,1.9317,45.3806,,0.057,213.3996,-1.6692,-0.4173,124724787.72,0.8259,5.4623,98.6539,-0.6178,-0.6165,-0.4173,9.7585,50.0,50.0,131.6667,124.9718,124.7531,53.4393,53.8159,131.7391,55.1972,-0.626,-4.0237,-0.6159,4.4207,4.4207,4.4207,-65.702,3.9238
1,600355.SH,20190425,20181231,0.02,0.02,0.8083,0.8083,0.3067,0.0841,-0.6561,7690171.46,3321450.27,103691736.66,1.9884,1.258,1.1824,5.2441,1.1612,3.0639,0.7464,526817.56,14471782.49,24712929.09,21581006.0905,51581006.0905,131506542.53,7620000.0,45000000.0,-47064573.74,321713577.64,174459254.91,127394681.17,405380124.76,-281468902.64,0.0224,0.7348,0.0611,-0.572,0.1089,0.0294,0.0439,0.1048,2.7684,26.0688,73.9312,22.9292,2.7684,5.5423,16.7683,0.6186,1.8263,99.8676,3.0812,3.6383,3.0926,3.09,0.9328,2.7156,2.0663,3.4218,3.0926,2.7156,33.8153,1.5109,1.4967,64.4557,35.5443,59.0835,11.1007,89.1919,95.8615,4.1385,0.1703,0.5109,1.9637,8.0348,1.7472,7.1492,,0.1633,240.6752,2.0663,2.0663,126505725.45,3.0421,6.2609,109.6668,1.9161,0.3618,1.2544,44.2767,116.6667,116.6667,168.5746,120.4429,120.0499,118.5234,105.0834,168.5392,117.9592,3.1443,4.4511,3.1412,16.3523,16.3523,9.1245,23293.241,3.1412
2,600355.SH,20181031,20180930,0.01,0.01,0.5998,0.5998,0.3067,0.0841,-0.6701,2123571.6,2025806.71,77070785.81,1.8847,1.1421,0.9802,3.9729,0.8417,2.2653,0.5512,10446351.59,11734974.06,,-15151575.4638,20848424.5362,143826395.16,1260000.0,51000000.0,-20163102.72,320517877.08,172370610.74,152207508.02,404517881.34,-288331146.06,0.0084,0.7208,-0.0312,-0.5859,0.028,0.0238,-0.0308,0.0424,1.4059,26.1126,73.8874,19.7907,1.4059,5.2925,13.8272,0.671,1.5294,96.4606,3.3644,3.976,1.1767,1.18,0.5745,2.1916,0.7749,1.2985,1.5689,2.9221,35.6777,1.5547,1.5185,66.8112,33.1888,58.3179,12.6076,87.6856,99.3574,0.6426,-0.0789,0.5547,1.8089,6.955,1.6346,6.2847,,-0.0784,251.6964,1.0332,0.7749,127438363.37,3.3049,5.9493,102.3201,-0.3364,-0.8179,-0.2168,31.1849,150.0,150.0,72.7034,163.3059,188.1738,137.1059,114.486,72.6678,141.7208,1.1791,5.4289,1.1837,19.0949,19.0949,-1.938,-100.0761,-11.0615
3,600355.SH,20180822,20180630,0.011,0.011,0.438,0.438,0.3067,0.0841,-0.6676,412547.45,4931980.18,57091131.59,1.8791,1.2016,1.02,2.4995,0.6122,1.6423,0.4013,12293669.8,10953557.8,16107340.27,-50959546.984,-5959546.984,136852109.51,1260000.0,60000000.0,21256274.64,322994675.77,173059998.76,194316273.4,414713030.66,-287135996.74,0.0109,0.7232,-0.0817,-0.5835,0.0006,0.0223,-0.1036,-0.0121,2.4797,26.4891,73.5109,18.0392,2.4797,5.0498,12.4187,0.5706,1.5433,94.296,4.6119,5.0822,1.5131,1.51,1.3963,2.0395,0.9951,1.5361,3.0262,4.079,35.8363,1.5585,1.5205,66.913,33.087,58.4262,14.4678,85.8182,99.364,0.636,-0.2042,0.5585,1.7965,5.9317,1.6304,5.3832,15.1953,-0.2029,234.1912,1.9902,0.9951,129332429.34,4.5392,4.1586,89.5131,2.8865,2.7773,1.8198,-8.636,161.1111,161.1111,-50.1838,185.5666,212.2111,160.3993,148.0584,-50.1362,168.0793,1.516,6.0468,1.5246,29.3435,29.3435,40.7326,506.7502,-11.281
4,600355.SH,20180428,20180331,-0.01,-0.01,0.1869,0.1869,0.3067,0.0841,-0.6882,29148.32,-4811642.02,23815310.85,1.7649,1.0725,0.8624,1.1724,0.2582,0.6959,0.1701,-663407.41,-2615150.54,,-33302396.81,6697603.19,159305663.15,1260000.0,55000000.0,3370673.71,316215072.96,163915385.41,167286059.12,399586009.33,-297263018.07,-0.0097,0.7027,-0.06,-0.6041,0.0033,-0.0053,-0.0677,0.0136,-5.1999,25.894,74.106,25.0115,-5.1999,6.247,18.1239,0.6406,0.4606,100.7213,-3.5232,-2.8434,-1.3736,-1.38,-1.382,-0.4836,-0.8845,-1.0218,-5.4944,-1.9344,38.4834,1.6256,1.5531,67.5212,32.4788,56.4517,13.7642,86.5326,99.4155,0.5845,-0.1378,0.6256,1.604,6.2868,1.4669,5.7494,93.8136,-0.137,275.1783,-3.538,-0.8845,131172365.33,-3.484,6.247,100.7213,-1.3736,-1.382,-0.8845,-32.1052,0.0,0.0,-128.1369,56.8389,46.8922,23.987,26.4991,-127.7773,11.2502,-1.3616,7.4522,-1.3643,16.6606,16.6606,16.6606,92.6848,-14.3514
5,600355.SH,20180425,20171231,-0.12,-0.12,0.6947,0.6947,0.3067,0.0841,-0.6785,5892192.98,-65339391.13,84318495.86,1.9578,1.0665,0.963,4.5288,0.941,2.5211,0.6219,-70701056.61,-60347055.54,-50859484.67,-43212179.74,-71012179.74,155674607.8,1260000.0,15000000.0,-29499539.67,320379501.47,163474776.28,133975236.61,364368503.03,-292480524.37,-0.1208,0.7124,-0.0891,-0.5944,-0.1414,-0.1226,-0.0878,-0.1443,-17.3893,24.6646,75.3354,31.3868,-17.3893,6.2269,25.1341,0.0258,12.6135,120.6813,-17.5458,-17.6525,-15.6326,-15.63,-17.182,-10.9777,-10.814,-14.7912,-15.6326,-10.9777,32.9817,1.4921,1.4456,64.0989,35.9011,61.4574,4.1167,96.2088,99.2672,0.7328,-0.257,0.4921,2.0389,23.3703,1.8634,21.3586,,-0.2551,271.5323,-10.814,-10.814,133142306.74,-17.6536,8.7802,159.9079,-12.8813,-13.7061,-9.0319,13.1451,-700.0,-700.0,-223.9221,-759.2969,-722.7943,-626.3412,-2964.2506,-223.902,-715.5984,-14.4983,-9.8321,-14.4993,1.8014,1.8014,37.6208,-988.6382,-14.4993
6,600355.SH,20171031,20170930,-0.02,-0.02,0.5036,0.5036,0.3067,0.0841,-0.5804,2802067.21,-13984608.19,62221084.66,2.7255,1.644,1.1872,3.0749,0.6552,1.8151,0.4403,-14367053.02,-11052981.89,,-57292894.42,-91092894.42,133564427.76,7260000.0,9000000.0,-23349431.76,371020759.08,230461441.05,198112009.29,406633160.2,-244215867.2,-0.0227,0.8105,-0.1143,-0.4963,-0.1667,-0.0225,-0.1164,-0.1851,-4.5123,25.1068,74.8932,26.8402,-4.5123,5.2581,21.5782,0.004,2.6481,105.7972,-6.3293,-4.46,-2.7651,-2.77,-3.458,-1.9639,-1.9869,-2.6036,-3.6868,-2.6185,27.3673,1.3768,1.3917,66.4939,33.5061,67.7716,2.2133,98.0784,89.1473,10.8527,-0.421,0.3768,2.6619,44.3132,2.4764,41.2245,,-0.3753,282.0663,-2.6492,-1.9869,135015595.78,-4.4639,4.9236,105.8516,-0.5835,-0.9306,-0.4251,-36.2751,-300.0,-300.0,4.1107,-69.0171,-385.1441,-501.3315,-79.3,4.1116,-504.0228,-2.7244,-5.3083,-2.7274,-7.3487,-7.3487,15.5745,0.9715,-0.6661
7,600355.SH,20170821,20170630,-0.018,-0.018,0.3386,0.3386,0.3067,0.0841,-0.5757,1413809.56,-10262468.62,40974088.21,2.6239,1.5983,1.1012,2.1814,0.4369,1.2197,0.2953,-9615869.51,-8687993.07,-4149533.53,-42072190.17,-82772190.17,141150093.61,7260000.0,2100000.0,-39087503.95,376427588.18,229218501.1,188030997.15,402067042.12,-241881985.28,-0.018,0.8152,-0.0544,-0.4915,-0.1578,-0.0177,-0.0855,-0.1682,-5.3103,24.5896,75.4104,26.3681,-5.3103,5.421,20.9021,0.0449,2.5055,105.7707,-6.9714,-5.2139,-2.1817,-2.18,-2.5303,-1.5396,-1.568,-2.0658,-4.3634,-3.0792,27.3418,1.3763,1.3914,67.2814,32.7186,68.3821,0.5223,99.7727,93.7811,6.2189,-0.1897,0.3763,2.6653,191.0253,2.501,179.2512,,-0.1779,274.0459,-3.136,-1.568,135178737.19,-5.2322,5.0328,106.6515,-0.6354,-0.9234,-0.453,-15.731,-550.0,-550.0,23.0552,-77.8153,-384.986,-561.5261,-48.519,23.0596,-560.9181,-2.1603,-4.786,-2.1582,-15.5139,-15.5139,-7.8856,45.2707,0.1319
8,600355.SH,20170429,20170331,-0.0128,-0.0133,0.1602,0.1602,0.3067,0.0841,-0.5705,254688.68,-6546369.21,23426597.49,2.3959,1.5909,0.9684,1.0382,0.1994,0.574,0.1363,-3776253.3,-5824804.39,,-46767641.02,-67117641.02,146276540.26,7260000.0,22450000.0,-33227453.12,378979557.32,232102515.41,196425062.29,424974020.65,-239325006.75,-0.0128,0.8204,-0.0263,-0.4863,-0.1304,-0.0118,-0.095,-0.1364,-7.9806,29.7151,70.2849,30.6129,-7.9806,5.8534,24.4946,0.2649,1.9486,104.7899,-9.523,-7.3884,-1.5464,-1.55,-1.609,-1.0072,-1.0879,-1.3858,-6.1856,-4.0288,30.4206,1.4372,1.4215,68.8629,31.1371,65.5095,5.2827,94.9964,94.4825,5.5175,-0.078,0.4372,2.294,17.9826,2.1535,16.881,,-0.0737,294.9736,-4.3516,-1.0879,136659052.66,-7.6532,5.8534,104.7899,-1.5464,-1.609,-1.0879,-16.4433,-526.6667,-543.3333,41.4254,-1621.6809,-547.0305,-498.8981,-540.53,41.3777,-495.5135,-1.5362,0.0629,-1.5345,-22.6476,-22.6476,-22.6476,-425.6977,0.8558
9,600355.SH,20170420,20161231,0.02,0.02,0.6824,0.6824,0.3067,0.0841,-0.5577,13426734.28,-2132312.25,87303235.97,2.4639,1.6939,1.3931,3.8546,0.8441,2.3809,0.5762,-5517843.1,10798422.85,19981198.11,922329.57,14522329.57,119271484.21,7260000.0,42800000.0,-77934427.63,384880201.63,233158889.63,152424462.0,451615701.18,-233033326.22,0.023,0.8332,0.0719,-0.4736,0.0759,0.0219,0.0019,0.0295,3.3633,25.9977,74.0023,25.1819,3.3633,5.6788,19.1454,0.3577,1.0671,101.6431,-2.0772,3.2156,2.7932,2.79,-0.5273,1.8527,1.9378,2.4588,2.7932,1.8527,29.2886,1.4142,1.4414,67.8772,32.1228,66.5713,9.4771,90.7855,94.059,5.941,0.2223,0.4142,2.4213,9.5795,2.2729,8.9925,,0.2091,289.3239,1.9378,1.9378,138059257.25,2.8856,4.7137,99.5973,2.0969,1.3967,1.4791,137.6339,110.5263,111.1111,36.1742,93.3136,110.5577,112.5668,97.75,36.1663,112.2206,2.8388,-1.597,2.8328,-17.678,-17.678,-31.4462,183.898,2.8328
