,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,002098.SZ,20190430,20190430,20190331,1,1,-0.0174,-0.0174,357378403.42,357378403.42,,,,,,,,,,,,,,,45167.0,524176.95,,,368699825.77,228157933.43,,,3205041.71,73629387.18,35483536.42,18453124.86,,,,,,,,,,,,-10228395.17,270889.4,110272.69,,-10067778.46,-1180095.17,-8887683.29,-6220635.52,-2667047.77,-19876.88,-8907560.17,-6240512.4,-2667047.77,6869071.73,,,,
1,002098.SZ,20190430,20190430,20181231,1,1,-1.81,-1.81,2272495886.73,2272495886.73,,,,,,,,,,,,,,,100000000.0,690389.57,,,3061327106.18,1463326035.35,,,16955867.5,459556281.44,229823036.02,68569136.86,777532631.06,,,,,,,,,,,-680554165.88,1121847.53,5291492.0,,-684723810.35,-7639706.45,-677084103.9,-649729150.7,-27354953.2,65293.28,-677018810.62,-649663857.42,-27354953.2,36361265.4,147582977.68,,,
2,002098.SZ,20181030,20181030,20180930,1,1,0.1326,0.1326,1663847039.98,1663847039.98,,,,,,,,,,,,,,,,111196.53,,,1637127312.54,1077031471.34,,,12476699.82,319365713.9,130492010.14,49809208.42,7195290.58,,,,,,,,,,,29148558.66,4809841.6,2176891.99,,31781508.27,-295567.7,32077075.97,47478010.32,-15400934.35,-12490.77,32064585.2,47465519.55,-15400934.35,86012634.36,,,,
3,002098.SZ,20180831,20180831,20180630,1,1,0.1014,0.1014,1143745988.12,1143745988.12,,,,,,,,,,,,,,,,111196.53,,,1118240057.24,732195581.4,,,7873358.64,221923294.64,111746671.77,35009296.32,9491854.47,,,,,,,,,,,26707977.26,3206520.12,1821535.96,,28092961.42,-482845.95,28575807.37,36292326.76,-7716519.39,-40755.76,28535051.61,36251571.0,-7716519.39,61576850.28,106541370.13,,,
4,002098.SZ,20180426,20180426,20180331,1,1,0.01,0.01,534214883.89,534214883.89,,,,,,,,,,,,,,,,111196.53,,,531911090.5,322440475.02,,,3096736.96,138411307.44,47799600.27,19205674.68,957296.13,,,,,,,,,,,2652675.96,3611239.09,4669.86,,6259245.19,667389.37,5591855.82,3295559.72,2296296.1,-29913.49,5561942.33,5561942.33,,22703001.25,,,,
5,002098.SZ,20180425,20180425,20171231,1,1,0.33,0.33,1859901688.9,1859901688.9,,,,,,,,,,,,,,,,332387.54,,,1697409226.19,1216858067.55,,,16528984.05,260853486.32,162596964.1,27405682.17,13166042.0,,,,,,,,,,,167341288.67,531179.01,7260597.19,,160611870.49,20690573.32,139921297.17,118993445.82,20927851.35,-86882.58,139834414.59,118906563.24,20927851.35,195081122.12,268553199.73,,,
6,002098.SZ,20171027,20171027,20170930,1,1,0.2408,0.2408,1060160843.69,1060160843.69,,,,,,,,,,,,,,,,179335.0,,,956616789.07,746553514.76,,,10527854.95,81995719.83,104248744.05,8610453.1,4680502.38,,,,,,,,,,,104493090.62,981250.7,2619012.85,1902830.18,102855328.47,16652265.4,86203063.07,86203063.07,,-34166.41,86168896.66,86168896.66,,117604711.1,,,,
7,002098.SZ,20170830,20170830,20170630,1,1,0.1793,0.1793,697379250.72,697379250.72,,,,,,,,,,,,,,,,,,,619721577.26,485706939.0,,,7710291.41,51484580.96,63626136.6,3788636.71,7404992.58,,,,,,,,,,,78256050.42,619050.21,2247940.59,1572529.35,76627160.04,12432704.7,64194455.34,64194455.34,,-17310.06,64177145.28,64177145.28,,82044687.13,116283003.19,,,
8,002098.SZ,20170428,20170428,20170331,1,1,0.02,0.02,243009028.28,243009028.28,,,,,,,,,,,,,,,,,,,233636896.35,175763756.89,,,1884837.2,23573852.59,30843643.98,1531152.44,39653.25,,,,,,,,,,,9372131.93,710799.65,478068.0,-21932.0,9604863.58,1919343.5,7685520.08,7685520.08,,-11463.28,7674056.8,7674056.8,,10942937.62,,,,
9,002098.SZ,20170427,20170427,20161231,1,1,0.33,0.33,1175490158.1,1175490158.1,,,,,,,,,,,,,,,,327253.82,,,1043047793.08,787081993.31,,,13101951.31,102169431.14,126765443.79,3422006.3,10506967.23,,,,,,,,,,,132769618.84,14091918.16,5341631.16,4211382.99,141519905.84,23024033.68,118495872.16,118495872.16,,83178.3,118579050.46,118579050.46,,135864371.32,199864672.23,,,
