,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,600971.SH,20190425,20190425,20190331,1,1,0.2365,0.2365,1623602556.35,1623602556.35,,,,,,,,,,,,,,,,13802745.13,13802745.13,,1307738260.65,1028657892.24,,,44488413.71,27458110.85,184678757.53,23604641.3,-2299554.98,,,,,,,,,,,330359974.43,398232.46,4274898.08,,326483308.81,90993651.6,235489657.21,236549822.81,-1060165.6,,235489657.21,236549822.81,-1060165.6,,,,,
1,600971.SH,20190328,20190328,20181231,1,1,1.22,1.22,5900332754.69,5900332754.69,,,,,,,,,,,,,,,,10284997.28,10284997.28,,4525873480.02,3196718437.42,,,167096116.94,97897366.39,564566017.46,114420894.9,12855863.88,,,,,,,,,,,1391165419.36,236936157.53,16658819.11,,1611442757.78,388268647.49,1223174110.29,1220760055.73,2414054.56,,1223174110.29,1220760055.73,2414054.56,1494673096.19,2120836269.36,,,
2,600971.SH,20181026,20181026,20180930,1,1,0.6888,0.6888,4663115877.11,4663115877.11,,,,,,,,,,,,,,,,15600852.82,15600852.82,,3730236685.04,2801317934.83,,,132538368.3,69705687.32,543861672.3,91139260.72,1770403.86,,,,,,,,,,,951859117.41,3873966.64,7561770.49,,948171313.56,258727358.62,689443954.94,688759613.06,684341.88,,689443954.94,688759613.06,684341.88,1028584833.81,,,,
3,600971.SH,20180817,20180817,20180630,1,1,0.4527,0.4527,3147745596.27,3147745596.27,,,,,,,,,,,,,,,,7302347.73,,,2521217970.51,1912529655.6,,,91198970.85,43722271.7,413717438.22,59439938.65,609695.49,,,,,,,,,,,634313450.48,1172473.54,4961621.28,3021621.28,630524302.74,176746321.51,453777981.23,452661558.46,1116422.77,,453777981.23,452661558.46,1116422.77,685967564.41,972304931.21,,,
4,600971.SH,20180428,20180428,20180331,1,1,0.204,0.204,1533182546.21,1533182546.21,,,,,,,,,,,,,,,,4089032.22,4089032.22,,1247745739.08,939721526.39,,,46232437.92,20557962.45,206968053.17,31336310.06,2929449.09,,,,,,,,,,,290009316.34,62070.62,490886.96,,289580500.0,86275047.79,203305452.21,203958461.36,-653009.15,,203305452.21,203958461.36,-653009.15,319702566.28,,,,
5,600971.SH,20180324,20180324,20171231,1,1,1.1,1.1,6536179022.63,6536179022.63,,,,,,,,,,,,,,,,15997665.24,13833226.88,,5263602351.66,3864628710.79,,,181475911.01,85501066.58,797063885.82,148889301.57,186043475.89,,,,,,,,,,,1293250022.72,4425257.13,39376452.79,,1258298827.06,148032806.14,1110266020.92,1104749084.82,5516936.1,,1110266020.92,1104749084.82,5516936.1,1608692415.2,2273677203.89,,,
6,600971.SH,20171027,20171027,20170930,1,1,0.95,0.95,5116044560.7,5116044560.7,,,,,,,,,,,,,,,,2164438.36,,,4160486232.5,3311132570.35,,,134169356.75,67197651.87,523362481.93,127316039.94,-2691868.34,,,,,,,,,,,957722766.56,16258690.28,12092375.26,,961889081.58,4652345.09,957236736.49,951764071.17,5472665.32,,957236736.49,951764071.17,5472665.32,1080182499.8,,,,
7,600971.SH,20170819,20170819,20170630,1,1,0.6314,0.6314,3282264100.2,3282264100.2,,,,,,,,,,,,,,,,,,,2637312484.95,2115741510.86,,,88867802.83,39885786.25,306386336.87,86613953.36,-182905.22,,,,,,,,,,,644951615.25,3575656.52,9031072.26,6933128.63,639496199.51,3090199.04,636406000.47,631368647.19,5037353.28,,636406000.47,631368647.19,5037353.28,,,,,
8,600971.SH,20170427,20170427,20170331,1,1,0.2876,0.2876,1592244331.95,1592244331.95,,,,,,,,,,,,,,,,,,,1297926685.21,1027693665.65,,,43847353.15,18781750.25,151584488.17,50717659.95,5301768.04,,,,,,,,,,,294317646.74,1072643.09,3652793.13,2704374.59,291737496.7,1217290.6,290520206.1,287630756.12,2889449.98,,290520206.1,287630756.12,2889449.98,,,,,
9,600971.SH,20170406,20170406,20161231,1,1,0.04,0.04,4625612358.36,4625612358.36,,,,,,,,,,,,,,,,16154948.48,16154948.48,,4639997729.79,3139119791.37,,,152426936.23,68752844.68,363272747.56,196796513.24,719628896.71,,,,,,,,,,,1769577.05,49900676.06,5980519.92,2340294.61,45689733.19,5550093.82,40139639.37,35286631.23,4853008.14,,40139639.37,35286631.23,4853008.14,911775049.79,1638761640.14,,,
10,600971.SH,20161029,20161029,20160930,1,1,0.12,0.12,2952758178.2,2952758178.2,,,,,,,,,,,,,,,,,,,2855464434.69,2276715178.24,,,67312116.05,57463760.17,316643559.76,146219779.33,-8889958.86,,,,,,,,,,,97293743.51,28406378.11,2555777.18,,123144344.44,1762806.12,121381538.32,116974381.36,4407156.96,,121381538.32,116974381.36,4407156.96,,,,,
11,600971.SH,20160811,20160811,20160630,1,1,0.06,0.06,1853003184.44,1853003184.44,,,,,,,,,,,,,,,,,,,1816308259.34,1472890349.52,,,41918517.1,40744112.6,157181301.81,106135568.37,-2561590.06,,,,,,,,,,,36694925.1,27557580.19,1939996.83,,62312508.46,1177743.29,61134765.17,56792732.06,4342033.11,,61134765.17,56792732.06,4342033.11,142830493.47,506883427.63,,,
12,600971.SH,20160412,20160422,20160331,1,1,0.0048,0.0048,975900984.27,975900984.27,,,,,,,,,,,,,,,,,,,991858712.06,806805187.78,,,22909899.17,19718224.8,104377553.97,36572857.49,1474988.85,,,,,,,,,,,-15957727.79,25160936.12,183833.13,,9019375.2,146363.82,8873011.38,4800886.03,4072125.35,,8873011.38,4800886.03,4072125.35,22090118.55,,,,
13,600971.SH,20160329,20160329,20151231,1,1,-1.38,-1.38,3966256238.9,3966256238.9,,,,,,,,,,,,,,,,13563544.11,10810025.75,,5444333459.5,4437916102.21,,,80786736.06,73717289.62,635455192.96,172608844.78,43849293.87,,,,,,,,,,,-1464513676.49,106545218.63,11935513.17,8714766.01,-1369903971.03,5047281.63,-1374951252.66,-1383291468.63,8340215.97,,-1374951252.66,-1383291468.63,8340215.97,-1305468375.82,-516520641.49,,,
14,600971.SH,20151031,20151031,20150930,1,1,-0.9,-0.9,3519789839.88,3519789839.88,,,,,,,,,,,,,,,,2753518.36,,,4445440148.3,3714809316.58,,,64267690.6,59963364.52,474737319.55,111556353.28,20106103.77,,,,,,,,,,,-922896790.06,35848539.27,2575961.33,,-889624212.12,807034.36,-890431246.48,-898807616.41,8376369.93,,-890431246.48,-898807616.41,8376369.93,-793987851.37,,,,
